film_title,category_name,rental_count
Alter Victory,Animation,22
Anaconda Confessions,Animation,21
Bikini Borrowers,Animation,17
Blackout Private,Animation,27
Borrowers Bedazzled,Animation,22
Canyon Stock,Animation,19
Carol Texas,Animation,18
Champion Flatliners,Animation,13
Clash Freddy,Animation,25
Club Graffiti,Animation,19
Crossroads Casualties,Animation,21
Dares Pluto,Animation,9
Desire Alien,Animation,8
Dogma Family,Animation,30
Donnie Alley,Animation,14
Doors President,Animation,19
Double Wrath,Animation,25
Duck Racer,Animation,6
Early Home,Animation,7
Falcon Volume,Animation,22
Fight Jawbreaker,Animation,22
Flying Hook,Animation,20
Forrester Comancheros,Animation,27
Gangs Pride,Animation,27
Ghostbusters Elf,Animation,9
Harper Dying,Animation,20
Hook Chariots,Animation,13
Horn Working,Animation,24
Inch Jet,Animation,18
Insects Stone,Animation,18
Intentions Empire,Animation,17
Ishtar Rocketeer,Animation,7
Juggler Hardly,Animation,32
Lawless Vision,Animation,17
Luke Mummy,Animation,7
Massage Image,Animation,12
Menagerie Rushmore,Animation,7
Miracle Virtual,Animation,9
Mission Zoolander,Animation,18
Nash Chocolat,Animation,15
Oscar Gold,Animation,25
Oz Liaisons,Animation,24
Packer Madigan,Animation,22
Pond Seattle,Animation,19
Potluck Mixed,Animation,11
Potter Connecticut,Animation,17
Pride Alamo,Animation,16
Punk Divorce,Animation,8
Room Roman,Animation,20
Sleepless Monsoon,Animation,20
Snowman Rollercoaster,Animation,23
Sons Interview,Animation,15
Storm Happiness,Animation,29
Sugar Wonka,Animation,17
Sunrise League,Animation,24
Telemark Heartbreakers,Animation,25
Theory Mermaid,Animation,11
Thief Pelican,Animation,19
Titanic Boondock,Animation,23
Tracy Cider,Animation,26
Turn Star,Animation,14
Wait Cider,Animation,21
Watch Tracy,Animation,16
Wonka Sea,Animation,18
