film_title,category_name,rental_count
Backlash Undefeated,Children,19
Bear Graceland,Children,22
Beneath Rush,Children,10
Betrayed Rear,Children,15
Cabin Flash,Children,15
Casper Dragonfly,Children,8
Christmas Moonshine,Children,21
Circus Youth,Children,15
Clockwork Paradise,Children,10
Comancheros Enemy,Children,6
Crooked Frogmen,Children,23
Daughter Madigan,Children,9
Doctor Grail,Children,7
Empire Malkovich,Children,21
Fargo Gandhi,Children,24
Forever Candidate,Children,13
Full Flatliners,Children,5
Fury Murder,Children,19
Ghost Groundhog,Children,21
Giant Troopers,Children,28
Gorgeous Bingo,Children,19
Graduate Lord,Children,16
Hall Cassidy,Children,16
Heartbreakers Bright,Children,20
Hollywood Anonymous,Children,13
Holocaust Highball,Children,17
Idols Snatchers,Children,30
Invasion Cyclone,Children,27
Jersey Sassy,Children,6
Jumping Wrath,Children,24
Labyrinth League,Children,15
Language Cowboy,Children,11
Legally Secretary,Children,9
Magic Mallrats,Children,7
Maker Gables,Children,10
Microcosmos Paradise,Children,13
Model Fish,Children,15
Murder Antitrust,Children,23
Noon Papi,Children,17
Polish Brooklyn,Children,18
Robbers Joon,Children,31
Sabrina Midnight,Children,21
Santa Paris,Children,11
Scarface Bang,Children,18
Shepherd Midsummer,Children,25
Splendor Patton,Children,21
Strangelove Desire,Children,24
Stranger Strangers,Children,11
Sundance Invasion,Children,19
Sweethearts Suspects,Children,29
Tequila Past,Children,6
Ties Hunger,Children,11
Tootsie Pilot,Children,15
Twisted Pirates,Children,11
Uptown Young,Children,12
Warlock Werewolf,Children,6
Wrong Behavior,Children,20
Zoolander Fiction,Children,17
