film_title,category_name,rental_count
Arizona Bang,Classics,21
Beast Hunchback,Classics,11
Bound Cheaper,Classics,24
Candidate Perdition,Classics,18
Center Dinosaur,Classics,24
Color Philadelphia,Classics,24
Conspiracy Spirit,Classics,5
Core Suit,Classics,18
Creepers Kane,Classics,14
Cruelty Unforgiven,Classics,7
Detective Vision,Classics,27
Dracula Crystal,Classics,21
Dynamite Tarzan,Classics,25
Extraordinary Conquerer,Classics,6
Frost Head,Classics,30
Galaxy Sweethearts,Classics,18
Gilbert Pelican,Classics,9
Gilmore Boiled,Classics,28
Holy Tadpole,Classics,9
Hope Tootsie,Classics,18
Hyde Doctor,Classics,26
Iron Moon,Classics,11
Island Exorcist,Classics,26
Jeepers Wedding,Classics,16
Jeopardy Encino,Classics,10
Jerk Paycheck,Classics,20
Jingle Sagebrush,Classics,13
League Hellfighters,Classics,17
Lights Deer,Classics,8
Loathing Legally,Classics,27
Lovely Jingle,Classics,14
Lover Truman,Classics,10
Magnificent Chitty,Classics,8
Malkovich Pet,Classics,26
Million Ace,Classics,20
Musketeers Wait,Classics,17
October Submarine,Classics,11
Pajama Jawbreaker,Classics,14
Patient Sister,Classics,19
Prejudice Oleander,Classics,20
Requiem Tycoon,Classics,19
Right Cranes,Classics,10
Roots Remember,Classics,17
Sling Luke,Classics,6
Snatchers Montezuma,Classics,9
Spiking Element,Classics,13
Steel Santa,Classics,23
Summer Scarface,Classics,16
Timberland Sky,Classics,31
Tomorrow Hustler,Classics,25
Towers Hurricane,Classics,11
Voyage Legally,Classics,28
Wasteland Divine,Classics,15
Westward Seabiscuit,Classics,26
