film_title,category_name,rental_count
Airplane Sierra,Comedy,15
Anthem Luke,Comedy,15
Bringing Hysterical,Comedy,20
Caper Motions,Comedy,24
Cat Coneheads,Comedy,30
Closer Bang,Comedy,28
Connection Microcosmos,Comedy,7
Control Anthem,Comedy,7
Crazy Home,Comedy,9
Daddy Pittsburgh,Comedy,13
Doom Dancing,Comedy,21
Downhill Enough,Comedy,25
Dying Maker,Comedy,17
Element Freddy,Comedy,10
Ferris Mother,Comedy,17
Fireball Philadelphia,Comedy,21
Flintstones Happiness,Comedy,17
Freedom Cleopatra,Comedy,5
Gold River,Comedy,14
Groundhog Uncut,Comedy,18
Gunfight Moon,Comedy,24
Heaven Freedom,Comedy,18
Hedwig Alter,Comedy,12
Hurricane Affair,Comedy,24
Hustler Party,Comedy,22
Jaws Harry,Comedy,14
Knock Warlock,Comedy,24
Life Twisted,Comedy,10
Lion Uncut,Comedy,18
Lonely Elephant,Comedy,15
Mallrats United,Comedy,25
Memento Zoolander,Comedy,13
Mulan Moon,Comedy,13
Mystic Truman,Comedy,10
Operation Operation,Comedy,27
Paradise Sabrina,Comedy,18
Party Knock,Comedy,13
Perfect Groove,Comedy,17
Pinocchio Simon,Comedy,20
Pure Runner,Comedy,16
Rushmore Mermaid,Comedy,6
Saddle Antitrust,Comedy,14
Saturn Name,Comedy,13
Searchers Wait,Comedy,14
Snatch Slipper,Comedy,22
Stage World,Comedy,10
Strictly Scarface,Comedy,23
Submarine Bed,Comedy,15
Sweden Shining,Comedy,18
Trainspotting Strangers,Comedy,11
Tramp Others,Comedy,20
Valley Packer,Comedy,15
Velvet Terminator,Comedy,26
Vertigo Northwest,Comedy,8
Wisdom Worker,Comedy,9
Zorro Ark,Comedy,31
