film_title,category_name,rental_count
African Egg,Family,12
Apache Divine,Family,31
Atlantis Cause,Family,24
Baked Cleopatra,Family,16
Bang Kwai,Family,7
Bedazzled Married,Family,13
Bilko Anonymous,Family,13
Blanket Beverly,Family,12
Blood Argonauts,Family,10
Blues Instinct,Family,21
Braveheart Human,Family,5
Chasing Fight,Family,20
Chisum Behavior,Family,13
Chocolat Harry,Family,20
Confused Candles,Family,17
Conversation Downhill,Family,17
Date Speed,Family,13
Dinosaur Secretary,Family,20
Dumbo Lust,Family,6
Earring Instinct,Family,19
Effect Gladiator,Family,25
Feud Frogmen,Family,25
Finding Anaconda,Family,12
Gables Metropolis,Family,19
Gandhi Kwai,Family,17
Grease Youth,Family,21
Half Outfield,Family,26
Homicide Peach,Family,22
House Dynamite,Family,23
Hunting Musketeers,Family,15
Indian Love,Family,16
Jason Trap,Family,24
Jedi Beneath,Family,19
Killer Innocent,Family,6
King Evolution,Family,9
Lolita World,Family,10
Louisiana Harry,Family,17
Maguire Apache,Family,9
Manchurian Curtain,Family,15
Movie Shakespeare,Family,27
Music Boondock,Family,19
Natural Stock,Family,13
Network Peak,Family,31
Odds Boogie,Family,15
Opposite Necklace,Family,13
Pilot Hoosiers,Family,16
Pittsburgh Hunchback,Family,12
President Bang,Family,7
Prix Undefeated,Family,11
Rage Games,Family,19
Range Moonwalker,Family,27
Remember Diary,Family,18
Resurrection Silverado,Family,21
Robbery Bright,Family,13
Rush Goodfellas,Family,31
Secrets Paradise,Family,20
Sensibility Rear,Family,10
Siege Madre,Family,15
Slums Duck,Family,24
Soup Wisdom,Family,8
Spartacus Cheaper,Family,9
Spinal Rocky,Family,13
Splash Gump,Family,14
Sunset Racer,Family,8
Super Wyoming,Family,13
Virtual Spoilers,Family,14
Willow Tracy,Family,16
